;ID;x;auc;fid;DIM
237;SEP_PSO_asyncE_syncG;50010;0.997907411328192;5;5
238;SEP_PSO_syncE_syncG;50010;0.997701945266262;5;5
239;UNIOA_BA_asyncE_syncG;50010;0.97103702788854;5;5
240;UNIOA_BA_syncE_syncG;50010;0.154284252656801;5;5
241;UNIOA_BOA_asyncE_syncG;50010;0.812080797226515;5;5
242;UNIOA_BOA_syncE_syncG;50010;0.815542956766771;5;5
243;UNIOA_CSA_asyncE;50010;0.279086193499882;5;5
244;UNIOA_CSA_syncE;50010;0.281757570885582;5;5
245;UNIOA_GOA_asyncE_syncG;50010;0.994969280653673;5;5
246;UNIOA_GOA_syncE_syncG;50010;0.994971146947081;5;5
247;UNIOA_MBO_asyncE_syncG;50010;0.994998357191307;5;5
248;UNIOA_MBO_syncE_syncG;50010;0.995322629591729;5;5
249;UNIOA_MFO_asyncE;50010;0.981122450857939;5;5
250;UNIOA_MFO_syncE;50010;0.98564118470763;5;5
251;UNIOA_PSO_asyncE_syncG;50010;0.997815522999407;5;5
252;UNIOA_PSO_syncE_syncG;50010;0.998220214500517;5;5
253;SEP_BA_asyncE_syncG;200010;0;5;20
254;SEP_BA_syncE_syncG;200010;0;5;20
255;SEP_BOA_asyncE_syncG;200010;0;5;20
256;SEP_BOA_syncE_syncG;200010;0;5;20
257;SEP_CSA_asyncE;200010;0.00870099468882765;5;20
258;SEP_CSA_syncE;200010;0.00785224219181198;5;20
259;SEP_GOA_asyncE_syncG;200010;0.982422491997026;5;20
260;SEP_GOA_syncE_syncG;200010;0.986464108167141;5;20
261;SEP_MBO_asyncE_syncG;200010;0.962699690505671;5;20
262;SEP_MBO_syncE_syncG;200010;0.964914281736894;5;20
263;SEP_MFO_asyncE;200010;0.993984065757242;5;20
264;SEP_MFO_syncE;200010;0.0941652721285504;5;20
265;SEP_PSO_asyncE_syncG;200010;0.0587464540171684;5;20
266;SEP_PSO_syncE_syncG;200010;0.039172840377589;5;20
267;UNIOA_BA_asyncE_syncG;200010;0;5;20
268;UNIOA_BA_syncE_syncG;200010;0;5;20
269;UNIOA_BOA_asyncE_syncG;200010;0;5;20
270;UNIOA_BOA_syncE_syncG;200010;0;5;20
271;UNIOA_CSA_asyncE;200010;0.0147123526176632;5;20
272;UNIOA_CSA_syncE;200010;0.0154556312800606;5;20
273;UNIOA_GOA_asyncE_syncG;200010;0.788618522282442;5;20
274;UNIOA_GOA_syncE_syncG;200010;0.931245730793045;5;20
275;UNIOA_MBO_asyncE_syncG;200010;0.991622314962683;5;20
276;UNIOA_MBO_syncE_syncG;200010;0.991880637340682;5;20
277;UNIOA_MFO_asyncE;200010;0.986805204718521;5;20
278;UNIOA_MFO_syncE;200010;0.989509312998065;5;20
279;UNIOA_PSO_asyncE_syncG;200010;0.0587595422788773;5;20
280;UNIOA_PSO_syncE_syncG;200010;0.097924931937618;5;20
281;SEP_BA_asyncE_syncG;50010;0.30337563362793;6;5
282;SEP_BA_syncE_syncG;50010;0.152766464048173;6;5
283;SEP_BOA_asyncE_syncG;50010;0.930426420815184;6;5
284;SEP_BOA_syncE_syncG;50010;0.920944369745891;6;5
285;SEP_CSA_asyncE;50010;0.816858918412396;6;5
286;SEP_CSA_syncE;50010;0.828332568780362;6;5
287;SEP_GOA_asyncE_syncG;50010;0.127900995627009;6;5
288;SEP_GOA_syncE_syncG;50010;0.135773885291143;6;5
289;SEP_MBO_asyncE_syncG;50010;0.739853574383163;6;5
290;SEP_MBO_syncE_syncG;50010;0.733008417924258;6;5
291;SEP_MFO_asyncE;50010;0.261687953902648;6;5
292;SEP_MFO_syncE;50010;0.205213587719958;6;5
293;SEP_PSO_asyncE_syncG;50010;0.616940133953655;6;5
294;SEP_PSO_syncE_syncG;50010;0.70065283156506;6;5
295;UNIOA_BA_asyncE_syncG;50010;0.950130041778173;6;5
296;UNIOA_BA_syncE_syncG;50010;0.951996204893033;6;5
297;UNIOA_BOA_asyncE_syncG;50010;0.92740554016958;6;5
298;UNIOA_BOA_syncE_syncG;50010;0.945239605266717;6;5
299;UNIOA_CSA_asyncE;50010;0.735898059603766;6;5
300;UNIOA_CSA_syncE;50010;0.714714210099157;6;5
301;UNIOA_GOA_asyncE_syncG;50010;0.153575204660282;6;5
302;UNIOA_GOA_syncE_syncG;50010;0.115870469399881;6;5
303;UNIOA_MBO_asyncE_syncG;50010;0.714676145272711;6;5
304;UNIOA_MBO_syncE_syncG;50010;0.718901932532122;6;5
305;UNIOA_MFO_asyncE;50010;0.477888542574739;6;5
306;UNIOA_MFO_syncE;50010;0.38973136851946;6;5
